BNF_PARAGRAPH_CODE,REGION_CODE,UNIT_OF_MEASURE,PREP_CLASS,SNOMED_CODE,PHARMACY_ADVANCED_SERVICE,BNF_CHAPTER,YEAR_MONTH,SUPPLIER_NAME,TOTAL_QUANTITY,DISPENSER_ACCOUNT_TYPE,GENERIC_BNF_EQUIVALENT_NAME,BNF_PRESENTATION_CODE,BNF_SECTION,GENERIC_BNF_EQUIVALENT_CODE,BNF_SECTION_CODE,ICB_NAME,PRESCRIBED_PREP_CLASS,BNF_PARAGRAPH,ICB_CODE,BNF_CHAPTER_CODE,REGION_NAME,ITEMS,BNF_CHEMICAL_SUBSTANCE,BNF_CHEMICAL_SUBSTANCE_CODE,NIC,BNF_PRESENTATION_NAME
50101,Y56,ml,1,41953911000001106,Pharmacy First Clinical Pathways,Infections,202402,,2400.0,English Pharmacy,Phenoxymethylpenicillin 250mg/5ml oral solution,0501011P0AAAFAF,Antibacterial drugs,0501011P0AAAFAF,501,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,1,Penicillins,QMJ,5,LONDON,20,Phenoxymethylpenicillin (Penicillin V),0501011P0,176.4,Phenoxymethylpenicillin 250mg/5ml oral solution
50101,Y60,ml,1,41953911000001106,Pharmacy First Clinical Pathways,Infections,202402,,8000.0,English Pharmacy,Phenoxymethylpenicillin 250mg/5ml oral solution,0501011P0AAAFAF,Antibacterial drugs,0501011P0AAAFAF,501,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,1,Penicillins,QJ2,5,MIDLANDS,64,Phenoxymethylpenicillin (Penicillin V),0501011P0,588.0,Phenoxymethylpenicillin 250mg/5ml oral solution
50101,Y56,ml,1,41953911000001106,Pharmacy First Clinical Pathways,Infections,202402,,6900.0,English Pharmacy,Phenoxymethylpenicillin 250mg/5ml oral solution,0501011P0AAAFAF,Antibacterial drugs,0501011P0AAAFAF,501,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,1,Penicillins,QKK,5,LONDON,58,Phenoxymethylpenicillin (Penicillin V),0501011P0,507.15,Phenoxymethylpenicillin 250mg/5ml oral solution
50101,Y60,ml,1,41953911000001106,Pharmacy First Clinical Pathways,Infections,202402,,12500.0,English Pharmacy,Phenoxymethylpenicillin 250mg/5ml oral solution,0501011P0AAAFAF,Antibacterial drugs,0501011P0AAAFAF,501,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,1,Penicillins,QHL,5,MIDLANDS,100,Phenoxymethylpenicillin (Penicillin V),0501011P0,918.75,Phenoxymethylpenicillin 250mg/5ml oral solution
50101,Y58,ml,1,41953911000001106,Pharmacy First Clinical Pathways,Infections,202402,,9400.0,English Pharmacy,Phenoxymethylpenicillin 250mg/5ml oral solution,0501011P0AAAFAF,Antibacterial drugs,0501011P0AAAFAF,501,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",1,Penicillins,QUY,5,SOUTH WEST,78,Phenoxymethylpenicillin (Penicillin V),0501011P0,690.9,Phenoxymethylpenicillin 250mg/5ml oral solution
50101,Y59,ml,1,41953911000001106,Pharmacy First Clinical Pathways,Infections,202402,,16200.0,English Pharmacy,Phenoxymethylpenicillin 250mg/5ml oral solution,0501011P0AAAFAF,Antibacterial drugs,0501011P0AAAFAF,501,NHS KENT AND MEDWAY INTEGRATED CARE BOARD,1,Penicillins,QKS,5,SOUTH EAST,145,Phenoxymethylpenicillin (Penicillin V),0501011P0,1190.7,Phenoxymethylpenicillin 250mg/5ml oral solution
50101,Y59,ml,1,41953911000001106,Pharmacy First Clinical Pathways,Infections,202402,,14600.0,English Pharmacy,Phenoxymethylpenicillin 250mg/5ml oral solution,0501011P0AAAFAF,Antibacterial drugs,0501011P0AAAFAF,501,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,1,Penicillins,QRL,5,SOUTH EAST,119,Phenoxymethylpenicillin (Penicillin V),0501011P0,1073.1,Phenoxymethylpenicillin 250mg/5ml oral solution
50101,Y62,ml,1,41953911000001106,Pharmacy First Clinical Pathways,Infections,202402,,27700.0,English Pharmacy,Phenoxymethylpenicillin 250mg/5ml oral solution,0501011P0AAAFAF,Antibacterial drugs,0501011P0AAAFAF,501,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,1,Penicillins,QYG,5,NORTH WEST,225,Phenoxymethylpenicillin (Penicillin V),0501011P0,2035.95,Phenoxymethylpenicillin 250mg/5ml oral solution
50101,Y58,ml,1,41953911000001106,Pharmacy First Clinical Pathways,Infections,202402,,2300.0,English Pharmacy,Phenoxymethylpenicillin 250mg/5ml oral solution,0501011P0AAAFAF,Antibacterial drugs,0501011P0AAAFAF,501,NHS DORSET INTEGRATED CARE BOARD,1,Penicillins,QVV,5,SOUTH WEST,18,Phenoxymethylpenicillin (Penicillin V),0501011P0,169.05,Phenoxymethylpenicillin 250mg/5ml oral solution
50101,Y61,ml,1,41953911000001106,Pharmacy First Clinical Pathways,Infections,202402,,4600.0,English Pharmacy,Phenoxymethylpenicillin 250mg/5ml oral solution,0501011P0AAAFAF,Antibacterial drugs,0501011P0AAAFAF,501,NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD,1,Penicillins,QJG,5,EAST OF ENGLAND,40,Phenoxymethylpenicillin (Penicillin V),0501011P0,338.1,Phenoxymethylpenicillin 250mg/5ml oral solution
50101,Y60,ml,1,41953911000001106,Pharmacy First Clinical Pathways,Infections,202402,,14200.0,English Pharmacy,Phenoxymethylpenicillin 250mg/5ml oral solution,0501011P0AAAFAF,Antibacterial drugs,0501011P0AAAFAF,501,NHS BLACK COUNTRY INTEGRATED CARE BOARD,1,Penicillins,QUA,5,MIDLANDS,116,Phenoxymethylpenicillin (Penicillin V),0501011P0,1043.7,Phenoxymethylpenicillin 250mg/5ml oral solution
50101,Y60,ml,1,41953911000001106,Pharmacy First Clinical Pathways,Infections,202402,,10400.0,English Pharmacy,Phenoxymethylpenicillin 250mg/5ml oral solution,0501011P0AAAFAF,Antibacterial drugs,0501011P0AAAFAF,501,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD",1,Penicillins,QK1,5,MIDLANDS,82,Phenoxymethylpenicillin (Penicillin V),0501011P0,764.4,Phenoxymethylpenicillin 250mg/5ml oral solution
50101,Y61,ml,1,41953911000001106,Pharmacy First Clinical Pathways,Infections,202402,,4300.0,English Pharmacy,Phenoxymethylpenicillin 250mg/5ml oral solution,0501011P0AAAFAF,Antibacterial drugs,0501011P0AAAFAF,501,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD,1,Penicillins,QUE,5,EAST OF ENGLAND,36,Phenoxymethylpenicillin (Penicillin V),0501011P0,316.05,Phenoxymethylpenicillin 250mg/5ml oral solution
50101,Y56,ml,1,41953911000001106,Pharmacy First Clinical Pathways,Infections,202402,,3400.0,English Pharmacy,Phenoxymethylpenicillin 250mg/5ml oral solution,0501011P0AAAFAF,Antibacterial drugs,0501011P0AAAFAF,501,NHS NORTH WEST LONDON INTEGRATED CARE BOARD,1,Penicillins,QRV,5,LONDON,28,Phenoxymethylpenicillin (Penicillin V),0501011P0,249.9,Phenoxymethylpenicillin 250mg/5ml oral solution
50101,Y58,ml,1,41953911000001106,Pharmacy First Clinical Pathways,Infections,202402,,600.0,English Pharmacy,Phenoxymethylpenicillin 250mg/5ml oral solution,0501011P0AAAFAF,Antibacterial drugs,0501011P0AAAFAF,501,NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD,1,Penicillins,QT6,5,SOUTH WEST,6,Phenoxymethylpenicillin (Penicillin V),0501011P0,44.1,Phenoxymethylpenicillin 250mg/5ml oral solution
50101,Y61,ml,1,41953911000001106,Pharmacy First Clinical Pathways,Infections,202402,,4500.0,English Pharmacy,Phenoxymethylpenicillin 250mg/5ml oral solution,0501011P0AAAFAF,Antibacterial drugs,0501011P0AAAFAF,501,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",1,Penicillins,QHG,5,EAST OF ENGLAND,35,Phenoxymethylpenicillin (Penicillin V),0501011P0,330.75,Phenoxymethylpenicillin 250mg/5ml oral solution
50101,Y59,ml,1,41953911000001106,Pharmacy First Clinical Pathways,Infections,202402,,6000.0,English Pharmacy,Phenoxymethylpenicillin 250mg/5ml oral solution,0501011P0AAAFAF,Antibacterial drugs,0501011P0AAAFAF,501,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD",1,Penicillins,QU9,5,SOUTH EAST,49,Phenoxymethylpenicillin (Penicillin V),0501011P0,441.0,Phenoxymethylpenicillin 250mg/5ml oral solution
50101,Y60,ml,1,41953911000001106,Pharmacy First Clinical Pathways,Infections,202402,,6200.0,English Pharmacy,Phenoxymethylpenicillin 250mg/5ml oral solution,0501011P0AAAFAF,Antibacterial drugs,0501011P0AAAFAF,501,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,1,Penicillins,QPM,5,MIDLANDS,51,Phenoxymethylpenicillin (Penicillin V),0501011P0,455.7,Phenoxymethylpenicillin 250mg/5ml oral solution
50101,Y58,ml,1,41953911000001106,Pharmacy First Clinical Pathways,Infections,202402,,4700.0,English Pharmacy,Phenoxymethylpenicillin 250mg/5ml oral solution,0501011P0AAAFAF,Antibacterial drugs,0501011P0AAAFAF,501,NHS DEVON INTEGRATED CARE BOARD,1,Penicillins,QJK,5,SOUTH WEST,33,Phenoxymethylpenicillin (Penicillin V),0501011P0,345.45,Phenoxymethylpenicillin 250mg/5ml oral solution
50101,Y60,ml,1,41953911000001106,Pharmacy First Clinical Pathways,Infections,202402,,8400.0,English Pharmacy,Phenoxymethylpenicillin 250mg/5ml oral solution,0501011P0AAAFAF,Antibacterial drugs,0501011P0AAAFAF,501,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,1,Penicillins,QT1,5,MIDLANDS,63,Phenoxymethylpenicillin (Penicillin V),0501011P0,617.4,Phenoxymethylpenicillin 250mg/5ml oral solution
50101,Y61,tablet,1,41953811000001101,Pharmacy First Clinical Pathways,Infections,202402,,32954.0,English Pharmacy,Phenoxymethylpenicillin 250mg tablets,0501011P0AAAJAJ,Antibacterial drugs,0501011P0AAAJAJ,501,NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD,1,Penicillins,QM7,5,EAST OF ENGLAND,827,Phenoxymethylpenicillin (Penicillin V),0501011P0,2389.16,Phenoxymethylpenicillin 250mg tablets
50101,Y62,tablet,1,41953811000001101,Pharmacy First Clinical Pathways,Infections,202402,,56371.0,English Pharmacy,Phenoxymethylpenicillin 250mg tablets,0501011P0AAAJAJ,Antibacterial drugs,0501011P0AAAJAJ,501,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,1,Penicillins,QE1,5,NORTH WEST,1428,Phenoxymethylpenicillin (Penicillin V),0501011P0,4086.88,Phenoxymethylpenicillin 250mg tablets
50101,Y58,tablet,1,41953811000001101,Pharmacy First Clinical Pathways,Infections,202402,,9781.0,English Pharmacy,Phenoxymethylpenicillin 250mg tablets,0501011P0AAAJAJ,Antibacterial drugs,0501011P0AAAJAJ,501,NHS DORSET INTEGRATED CARE BOARD,1,Penicillins,QVV,5,SOUTH WEST,249,Phenoxymethylpenicillin (Penicillin V),0501011P0,709.12,Phenoxymethylpenicillin 250mg tablets
50101,Y62,tablet,1,41953811000001101,Pharmacy First Clinical Pathways,Infections,202402,,62256.0,English Pharmacy,Phenoxymethylpenicillin 250mg tablets,0501011P0AAAJAJ,Antibacterial drugs,0501011P0AAAJAJ,501,NHS GREATER MANCHESTER INTEGRATED CARE BOARD,1,Penicillins,QOP,5,NORTH WEST,1578,Phenoxymethylpenicillin (Penicillin V),0501011P0,4513.53,Phenoxymethylpenicillin 250mg tablets
50101,Y60,tablet,1,41953811000001101,Pharmacy First Clinical Pathways,Infections,202402,,17804.0,English Pharmacy,Phenoxymethylpenicillin 250mg tablets,0501011P0AAAJAJ,Antibacterial drugs,0501011P0AAAJAJ,501,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,1,Penicillins,QJ2,5,MIDLANDS,448,Phenoxymethylpenicillin (Penicillin V),0501011P0,1290.79,Phenoxymethylpenicillin 250mg tablets
50101,Y61,tablet,1,41953811000001101,Pharmacy First Clinical Pathways,Infections,202402,,13707.0,English Pharmacy,Phenoxymethylpenicillin 250mg tablets,0501011P0AAAJAJ,Antibacterial drugs,0501011P0AAAJAJ,501,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD,1,Penicillins,QUE,5,EAST OF ENGLAND,349,Phenoxymethylpenicillin (Penicillin V),0501011P0,993.75,Phenoxymethylpenicillin 250mg tablets
50101,Y60,tablet,1,41953811000001101,Pharmacy First Clinical Pathways,Infections,202402,,10060.0,English Pharmacy,Phenoxymethylpenicillin 250mg tablets,0501011P0AAAJAJ,Antibacterial drugs,0501011P0AAAJAJ,501,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",1,Penicillins,QOC,5,MIDLANDS,252,Phenoxymethylpenicillin (Penicillin V),0501011P0,729.35,Phenoxymethylpenicillin 250mg tablets
50101,Y60,tablet,1,41953811000001101,Pharmacy First Clinical Pathways,Infections,202402,,26343.0,English Pharmacy,Phenoxymethylpenicillin 250mg tablets,0501011P0AAAJAJ,Antibacterial drugs,0501011P0AAAJAJ,501,NHS BLACK COUNTRY INTEGRATED CARE BOARD,1,Penicillins,QUA,5,MIDLANDS,666,Phenoxymethylpenicillin (Penicillin V),0501011P0,1909.86,Phenoxymethylpenicillin 250mg tablets
50101,Y61,tablet,1,41953811000001101,Pharmacy First Clinical Pathways,Infections,202402,,29758.0,English Pharmacy,Phenoxymethylpenicillin 250mg tablets,0501011P0AAAJAJ,Antibacterial drugs,0501011P0AAAJAJ,501,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD,1,Penicillins,QH8,5,EAST OF ENGLAND,759,Phenoxymethylpenicillin (Penicillin V),0501011P0,2157.45,Phenoxymethylpenicillin 250mg tablets
50101,Y60,tablet,1,41953811000001101,Pharmacy First Clinical Pathways,Infections,202402,,11955.0,English Pharmacy,Phenoxymethylpenicillin 250mg tablets,0501011P0AAAJAJ,Antibacterial drugs,0501011P0AAAJAJ,501,NHS LINCOLNSHIRE INTEGRATED CARE BOARD,1,Penicillins,QJM,5,MIDLANDS,306,Phenoxymethylpenicillin (Penicillin V),0501011P0,866.74,Phenoxymethylpenicillin 250mg tablets
50101,Y60,tablet,1,41953811000001101,Pharmacy First Clinical Pathways,Infections,202402,,12933.0,English Pharmacy,Phenoxymethylpenicillin 250mg tablets,0501011P0AAAJAJ,Antibacterial drugs,0501011P0AAAJAJ,501,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,1,Penicillins,QGH,5,MIDLANDS,330,Phenoxymethylpenicillin (Penicillin V),0501011P0,937.64,Phenoxymethylpenicillin 250mg tablets
50101,Y56,tablet,1,41953811000001101,Pharmacy First Clinical Pathways,Infections,202402,,31541.0,English Pharmacy,Phenoxymethylpenicillin 250mg tablets,0501011P0AAAJAJ,Antibacterial drugs,0501011P0AAAJAJ,501,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,1,Penicillins,QMF,5,LONDON,798,Phenoxymethylpenicillin (Penicillin V),0501011P0,2286.71,Phenoxymethylpenicillin 250mg tablets
50101,Y60,tablet,1,41953811000001101,Pharmacy First Clinical Pathways,Infections,202402,,17420.0,English Pharmacy,Phenoxymethylpenicillin 250mg tablets,0501011P0AAAJAJ,Antibacterial drugs,0501011P0AAAJAJ,501,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,1,Penicillins,QWU,5,MIDLANDS,441,Phenoxymethylpenicillin (Penicillin V),0501011P0,1262.95,Phenoxymethylpenicillin 250mg tablets
50101,Y58,tablet,1,41953811000001101,Pharmacy First Clinical Pathways,Infections,202402,,5300.0,English Pharmacy,Phenoxymethylpenicillin 250mg tablets,0501011P0AAAJAJ,Antibacterial drugs,0501011P0AAAJAJ,501,NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD,1,Penicillins,QT6,5,SOUTH WEST,132,Phenoxymethylpenicillin (Penicillin V),0501011P0,384.25,Phenoxymethylpenicillin 250mg tablets
50101,Y60,tablet,1,41953811000001101,Pharmacy First Clinical Pathways,Infections,202402,,27857.0,English Pharmacy,Phenoxymethylpenicillin 250mg tablets,0501011P0AAAJAJ,Antibacterial drugs,0501011P0AAAJAJ,501,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD",1,Penicillins,QK1,5,MIDLANDS,703,Phenoxymethylpenicillin (Penicillin V),0501011P0,2019.63,Phenoxymethylpenicillin 250mg tablets
50101,Y63,tablet,1,41953811000001101,Pharmacy First Clinical Pathways,Infections,202402,,30114.0,English Pharmacy,Phenoxymethylpenicillin 250mg tablets,0501011P0AAAJAJ,Antibacterial drugs,0501011P0AAAJAJ,501,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,1,Penicillins,QOQ,5,NORTH EAST AND YORKSHIRE,761,Phenoxymethylpenicillin (Penicillin V),0501011P0,2183.26,Phenoxymethylpenicillin 250mg tablets
50101,Y59,tablet,1,41953811000001101,Pharmacy First Clinical Pathways,Infections,202402,,10146.0,English Pharmacy,Phenoxymethylpenicillin 250mg tablets,0501011P0AAAJAJ,Antibacterial drugs,0501011P0AAAJAJ,501,NHS FRIMLEY INTEGRATED CARE BOARD,1,Penicillins,QNQ,5,SOUTH EAST,257,Phenoxymethylpenicillin (Penicillin V),0501011P0,735.58,Phenoxymethylpenicillin 250mg tablets
50101,Y56,tablet,1,41953811000001101,Pharmacy First Clinical Pathways,Infections,202402,,25312.0,English Pharmacy,Phenoxymethylpenicillin 250mg tablets,0501011P0AAAJAJ,Antibacterial drugs,0501011P0AAAJAJ,501,NHS NORTH WEST LONDON INTEGRATED CARE BOARD,1,Penicillins,QRV,5,LONDON,635,Phenoxymethylpenicillin (Penicillin V),0501011P0,1835.11,Phenoxymethylpenicillin 250mg tablets
50101,Y60,tablet,1,41953811000001101,Pharmacy First Clinical Pathways,Infections,202402,,11342.0,English Pharmacy,Phenoxymethylpenicillin 250mg tablets,0501011P0AAAJAJ,Antibacterial drugs,0501011P0AAAJAJ,501,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,1,Penicillins,QPM,5,MIDLANDS,291,Phenoxymethylpenicillin (Penicillin V),0501011P0,822.29,Phenoxymethylpenicillin 250mg tablets
50101,Y58,tablet,1,41953811000001101,Pharmacy First Clinical Pathways,Infections,202402,,12687.0,English Pharmacy,Phenoxymethylpenicillin 250mg tablets,0501011P0AAAJAJ,Antibacterial drugs,0501011P0AAAJAJ,501,NHS DEVON INTEGRATED CARE BOARD,1,Penicillins,QJK,5,SOUTH WEST,321,Phenoxymethylpenicillin (Penicillin V),0501011P0,919.81,Phenoxymethylpenicillin 250mg tablets
50101,Y61,tablet,1,41953811000001101,Pharmacy First Clinical Pathways,Infections,202402,,12138.0,English Pharmacy,Phenoxymethylpenicillin 250mg tablets,0501011P0AAAJAJ,Antibacterial drugs,0501011P0AAAJAJ,501,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",1,Penicillins,QHG,5,EAST OF ENGLAND,308,Phenoxymethylpenicillin (Penicillin V),0501011P0,880.0,Phenoxymethylpenicillin 250mg tablets
